Country,Month,Total_APPS,New_APPS
MY,202001,156720,0
MY,202002,151549,21048
MY,202003,119130,13295
MY,202004,108487,19911
MY,202005,69383,4105
MY,202006,25038,9177
MY,202007,18347,5543
MY,202008,18202,3141
MY,202009,26631,10579
MY,202010,27018,6020
MY,202011,22027,3832
MY,202012,22938,5884
MY,202101,22333,4885
MY,202102,20864,4209
MY,202103,23584,5059
MY,202104,24214,4148
MY,202105,25000,3735
MY,202106,24730,3215
MY,202107,23638,2695
MY,202108,76050,54439
MY,202109,102045,32153
MY,202110,102912,14677
BD,202001,88537,0
BD,202002,84323,15171
BD,202003,98238,27439
BD,202004,103553,22544
BD,202005,78225,6964
BD,202006,16827,4433
BD,202007,17673,6364
BD,202008,19483,6145
BD,202009,20335,3478
BD,202010,21676,4384
BD,202011,23905,6474
BD,202012,29152,7951
BD,202101,25929,4151
BD,202102,26996,7760
BD,202103,25885,4774
BD,202104,26635,4661
BD,202105,26699,4154
BD,202106,23956,3417
BD,202107,22508,3189
BD,202108,31921,12423
BD,202109,35630,7889
BD,202110,35357,5542
ID,202001,127350,0
ID,202002,131296,24324
ID,202003,127665,20685
ID,202004,119684,19478
ID,202005,93829,18339
ID,202006,29394,3628
ID,202007,49444,24129
ID,202008,55546,13487
ID,202009,62587,13690
ID,202010,59172,8835
ID,202011,43801,5623
ID,202012,46439,9980
ID,202101,38016,4568
ID,202102,47707,17402
ID,202103,33025,3865
ID,202104,34652,6283
ID,202105,35461,5488
ID,202106,33192,4844
ID,202107,30765,4306
ID,202108,76690,51530
ID,202109,90554,22174
ID,202110,94534,14211
KH,202001,53110,0
KH,202002,57423,16850
KH,202003,72905,25317
KH,202004,79705,22818
KH,202005,48316,3978
KH,202006,9670,1132
KH,202007,11258,3523
KH,202008,12321,2799
KH,202009,13241,2941
KH,202010,13115,3064
KH,202011,14704,4528
KH,202012,13754,2802
KH,202101,13777,2685
KH,202102,15400,4936
KH,202103,14474,3056
KH,202104,13960,2698
KH,202105,14120,3143
KH,202106,13760,2683
KH,202107,15121,3563
KH,202108,55132,43797
KH,202109,58367,12494
KH,202110,59831,11547
KR,202003,66810,0
KR,202004,79536,22318
KR,202005,51539,3143
KR,202006,12183,2155
KR,202007,21569,11043
KR,202008,16786,2778
KR,202009,17846,3312
KR,202010,18352,3267
KR,202011,16775,3086
KR,202012,16056,2474
KR,202101,17532,3540
KR,202102,17240,3033
KR,202103,16426,2105
KR,202104,16968,2563
KR,202105,18428,3287
LK,202001,74298,0
LK,202002,73706,16491
LK,202003,65231,14045
LK,202004,76905,24853
LK,202005,54482,5493
LK,202006,8031,889
LK,202007,10039,3274
LK,202008,9914,1713
LK,202009,9583,1664
LK,202010,9855,2281
LK,202011,10719,3075
LK,202012,10885,2509
LK,202101,11572,2846
LK,202102,11435,3816
LK,202103,10807,2475
LK,202104,10038,1966
LK,202105,10729,2619
LK,202106,10599,2283
LK,202107,9853,1546
LK,202108,48304,40419
LK,202109,50991,11438
LK,202110,52175,10611
MM,202101,19279,0
MM,202102,14385,2323
MM,202103,13240,2232
MM,202104,14386,2959
MM,202105,14992,2415
MM,202106,12698,1764
MM,202107,14607,3263
MM,202108,60072,47402
MM,202109,64904,14323
MM,202110,66818,12705
PH,202001,97044,0
PH,202002,93752,17416
PH,202003,114583,32348
PH,202004,105981,19016
PH,202005,72795,5789
PH,202006,24933,4377
PH,202007,24042,6933
PH,202008,22014,3755
PH,202009,21915,4192
PH,202010,20958,3414
PH,202011,18345,3282
PH,202012,23255,7178
PH,202101,22310,4768
PH,202102,21464,3899
PH,202103,20306,3092
PH,202104,22389,4542
PH,202105,21406,3322
PH,202106,23024,4784
PH,202107,20347,1735
PH,202108,62478,44276
PH,202109,77125,20915
PH,202110,80212,12951
SG,202001,95274,0
SG,202002,73206,10305
SG,202003,83266,23752
SG,202004,85551,21373
SG,202005,54544,5024
SG,202006,14108,1635
SG,202007,18195,6535
SG,202008,16874,2901
SG,202009,25043,9883
SG,202010,21915,3855
SG,202011,32304,15016
SG,202012,17050,1885
SG,202101,19332,4454
SG,202102,18085,3192
SG,202103,19696,4380
SG,202104,19561,3275
SG,202105,19361,3198
SG,202106,21379,4468
SG,202107,18603,1719
SG,202108,52552,35400
SG,202109,77210,28342
SG,202110,79587,14064
VN,202001,81215,0
VN,202002,78993,15868
VN,202003,106833,35614
VN,202004,107443,20405
VN,202005,67417,3890
VN,202006,21148,2996
VN,202007,22089,6977
VN,202008,22611,4900
VN,202009,22547,4210
VN,202010,24599,5783
VN,202011,24635,5942
VN,202012,24306,4666
VN,202101,21182,2923
VN,202102,20352,4103
VN,202103,20873,3099
VN,202104,22272,3149
VN,202105,22691,2747
TH,202001,109052,0
TH,202002,82046,9340
TH,202003,95995,25783
TH,202004,88711,16180
TH,202005,59812,4905
TH,202006,21233,3204
TH,202007,20284,5474
TH,202008,18970,3099
TH,202009,20358,4867
TH,202010,21865,5049
TH,202011,19432,3604
TH,202012,16276,2213
TH,202101,19556,5001
TH,202102,21112,5207
TH,202103,20580,2910
TH,202104,23309,4569
TH,202105,22493,2768
TH,202106,20557,2323
TH,202107,18716,2020
TH,202108,48860,32621
TH,202109,65234,20905
TH,202110,67302,11679
