Country,Month,Total_Users,New_App_Users
BD,202001,0,0
BD,202002,35715656,399935
BD,202003,38920067,1250711
BD,202004,37283734,702693
BD,202005,34339769,294776
BD,202006,30956969,268742
BD,202007,31367328,1368696
BD,202008,34576449,819520
BD,202009,33277586,379107
BD,202010,35984258,809265
BD,202011,38420469,752877
BD,202012,39437457,552678
BD,202101,36347145,380409
BD,202102,36119077,1774532
BD,202103,38312825,606336
BD,202104,37313485,581690
BD,202105,38795890,342500
BD,202106,36467937,333842
BD,202107,39677290,83481
BD,202108,39054198,1524902
ID,202001,0,0
ID,202002,144016931,5160064
ID,202003,139441523,3891376
ID,202004,132911983,2304694
ID,202005,125681513,8497495
ID,202006,106939809,998384
ID,202007,115026227,16988443
ID,202008,139887387,13047544
ID,202009,135835984,4437270
ID,202010,155697990,2396733
ID,202011,138703870,3899787
ID,202012,136938637,5386069
ID,202101,125876749,2825652
ID,202102,125774578,14600277
ID,202103,128690852,3011013
ID,202104,131995879,5110902
ID,202105,139687565,6404168
ID,202106,132087825,4220945
ID,202107,147505433,497293
ID,202108,136729650,28288933
ID,202109,134961546,5648312
ID,202110,138327866,10895436
KH,202001,0,0
KH,202002,5859176,415051
KH,202003,7090162,448147
KH,202004,7199379,345594
KH,202005,5132139,176329
KH,202006,3485950,143249
KH,202007,3479202,485140
KH,202008,3519996,82014
KH,202009,3683988,121260
KH,202010,3654979,156544
KH,202011,4024718,127132
KH,202012,4156899,272394
KH,202101,4001093,106483
KH,202102,4153897,416212
KH,202103,4548927,115490
KH,202104,4776657,238450
KH,202105,5294470,393851
KH,202106,5050065,118148
KH,202107,5920740,57809
KH,202108,6149806,1638778
KH,202109,6103532,380198
KH,202110,6215054,754190
KR,202003,0,0
KR,202004,39264401,1141794
KR,202005,31546676,566678
KR,202006,26061422,996257
KR,202007,29062038,6126593
KR,202008,29773494,419714
KR,202009,29734588,540147
KR,202010,29225872,570313
KR,202011,28706671,488067
KR,202012,29406565,1111350
KR,202101,30844250,818428
KR,202102,29709556,5957531
KR,202103,30276477,400130
KR,202104,29758872,853076
KR,202105,30388708,723811
LK,202001,0,0
LK,202002,7380197,105060
LK,202003,7309978,215138
LK,202004,7512625,214501
LK,202005,6972076,42184
LK,202006,5863555,36716
LK,202007,5994600,196249
LK,202008,6237481,27195
LK,202009,5962103,19528
LK,202010,6196270,154841
LK,202011,6400028,66769
LK,202012,5248074,60760
LK,202101,5867010,30988
LK,202102,6009013,272440
LK,202103,6170329,42102
LK,202104,5951785,49123
LK,202105,6178034,32723
LK,202106,6021935,69690
LK,202107,5746790,18509
LK,202108,5591201,1262500
LK,202109,5552816,222833
LK,202110,5615800,113198
MM,202101,0,0
MM,202102,12812643,46556
MM,202103,9807685,64589
MM,202104,4636656,122782
MM,202105,9887111,72811
MM,202106,10503975,99394
MM,202107,12333985,92550
MM,202108,8497813,2001314
MM,202109,8481040,687768
MM,202110,8351446,513297
MY,202001,0,0
MY,202002,28785009,766558
MY,202003,27158163,1223937
MY,202004,24165264,924154
MY,202005,20753172,417661
MY,202006,20265946,2230840
MY,202007,20169168,2522355
MY,202008,21944903,655329
MY,202009,19893171,499429
MY,202010,20887368,576941
MY,202011,21203454,907122
MY,202012,21139499,985655
MY,202101,21710459,557282
MY,202102,21802111,2649132
MY,202103,22749278,729446
MY,202104,22680199,1199779
MY,202105,25008682,763928
MY,202106,24968572,1016311
MY,202107,29780977,427186
MY,202108,25125782,3869440
MY,202109,26820897,1703266
MY,202110,26534639,1510759
PH,202001,0,0
PH,202002,41595062,640558
PH,202003,47414237,1676061
PH,202004,44372678,1202065
PH,202005,41157650,624749
PH,202006,40745356,676927
PH,202007,41198879,2522905
PH,202008,44407940,473325
PH,202009,42891343,434480
PH,202010,44096029,577861
PH,202011,42821789,597488
PH,202012,44884718,1118567
PH,202101,47068060,965327
PH,202102,44257063,2751075
PH,202103,46162254,432831
PH,202104,44599168,1718664
PH,202105,42424093,1195488
PH,202106,42679048,1520561
PH,202107,42709853,172000
PH,202108,46020008,9514508
PH,202109,48199692,1792504
PH,202110,47894783,3407295
SG,202001,0,0
SG,202002,10304394,518118
SG,202003,10038407,268756
SG,202004,9346560,243370
SG,202005,6486282,98401
SG,202006,5098715,125998
SG,202007,5787452,388608
SG,202008,7263748,167362
SG,202009,7884098,157230
SG,202010,6131335,105992
SG,202011,9027463,409699
SG,202012,6551567,252503
SG,202101,6442519,76205
SG,202102,6936762,513831
SG,202103,7473306,88217
SG,202104,6399799,163829
SG,202105,8365102,129664
SG,202106,8979399,158408
SG,202107,8125074,58676
SG,202108,7947261,603489
SG,202109,12354180,434002
SG,202110,12640871,340056
TH,202001,0,0
TH,202002,32899618,1136184
TH,202003,38013344,2394996
TH,202004,35109626,923999
TH,202005,27949516,740580
TH,202006,23539617,582889
TH,202007,22937309,2583805
TH,202008,25325834,461066
TH,202009,24935014,614880
TH,202010,27123414,624635
TH,202011,26204441,590196
TH,202012,25433549,1488803
TH,202101,28104051,2041002
TH,202102,29268951,3003203
TH,202103,31608024,705465
TH,202104,33580457,2649269
TH,202105,33431437,1162078
TH,202106,32028579,1241011
TH,202107,34164442,189097
TH,202108,33155670,7798914
TH,202109,37532866,1934084
TH,202110,39186902,2132192
VN,202001,0,0
VN,202002,49333145,1406262
VN,202003,54995427,3091035
VN,202004,51304197,2536556
VN,202005,36115167,1326980
VN,202006,29086956,689115
VN,202007,35155685,3535625
VN,202008,40504539,711907
VN,202009,36122323,398671
VN,202010,39468518,1028376
VN,202011,42119935,1555518
VN,202012,41021580,1603933
VN,202101,36258219,946700
VN,202102,36556785,4659293
VN,202103,36226193,1112445
VN,202104,37928328,2205366
VN,202105,40487157,1498182
